Topic,Subject,Title,District 29 Estimate,District 29 Flag
Business,Paid employees for pay period including March 12,Total for all sectors,179967,G
Business,Paid employees for pay period including March 12,"Mining, quarrying, and oil and gas extraction",1104,H
Business,Paid employees for pay period including March 12,Utilities,1416,J
Business,Paid employees for pay period including March 12,Construction,23129,G
Business,Paid employees for pay period including March 12,Manufacturing,22255,G
Business,Paid employees for pay period including March 12,Wholesale trade,13225,G
Business,Paid employees for pay period including March 12,Retail trade,23424,G
Business,Paid employees for pay period including March 12,Transportation and warehousing,17956,G
Business,Paid employees for pay period including March 12,Information,1575,G
Business,Paid employees for pay period including March 12,Finance and insurance,4111,H
Business,Paid employees for pay period including March 12,Real estate and rental and leasing,2495,G
Business,Paid employees for pay period including March 12,"Professional, scientific, and technical services",8345,G
Business,Paid employees for pay period including March 12,Management of companies and enterprises,1758,H
Business,Paid employees for pay period including March 12,Administrative and support and waste management and remediation services,18558,G
Business,Paid employees for pay period including March 12,Educational services,1965,G
Business,Paid employees for pay period including March 12,Health care and social assistance,13297,G
Business,Paid employees for pay period including March 12,"Arts, entertainment, and recreation",494,G
Business,Paid employees for pay period including March 12,Accommodation and food services,18785,G
Business,Paid employees for pay period including March 12,Other services (except public administration),6047,G
Business,Paid employees for pay period including March 12,Industries not classified,12,G
Business,"Annual payroll ($1,000)",Total for all sectors,9576746,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",103832,H
Business,"Annual payroll ($1,000)",Utilities,184120,J
Business,"Annual payroll ($1,000)",Construction,1737499,G
Business,"Annual payroll ($1,000)",Manufacturing,1584839,G
Business,"Annual payroll ($1,000)",Wholesale trade,892721,G
Business,"Annual payroll ($1,000)",Retail trade,767703,G
Business,"Annual payroll ($1,000)",Transportation and warehousing,977301,G
Business,"Annual payroll ($1,000)",Information,91603,G
Business,"Annual payroll ($1,000)",Finance and insurance,190893,G
Business,"Annual payroll ($1,000)",Real estate and rental and leasing,144175,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",693358,G
Business,"Annual payroll ($1,000)",Management of companies and enterprises,144183,G
Business,"Annual payroll ($1,000)",Administrative and support and waste management and remediation services,732661,G
Business,"Annual payroll ($1,000)",Educational services,86556,H
Business,"Annual payroll ($1,000)",Health care and social assistance,588166,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",11460,G
Business,"Annual payroll ($1,000)",Accommodation and food services,369046,G
Business,"Annual payroll ($1,000)",Other services (except public administration),274651,G
Business,"Annual payroll ($1,000)",Industries not classified,820,H
Business,Total Establishments,Total for all sectors,10232,X
Business,Total Establishments,"Mining, quarrying, and oil and gas extraction",45,X
Business,Total Establishments,Utilities,27,X
Business,Total Establishments,Construction,954,X
Business,Total Establishments,Manufacturing,707,X
Business,Total Establishments,Wholesale trade,804,X
Business,Total Establishments,Retail trade,1807,X
Business,Total Establishments,Transportation and warehousing,579,X
Business,Total Establishments,Information,133,X
Business,Total Establishments,Finance and insurance,674,X
Business,Total Establishments,Real estate and rental and leasing,420,X
Business,Total Establishments,"Professional, scientific, and technical services",725,X
Business,Total Establishments,Management of companies and enterprises,70,X
Business,Total Establishments,Administrative and support and waste management and remediation services,437,X
Business,Total Establishments,Educational services,87,X
Business,Total Establishments,Health care and social assistance,829,X
Business,Total Establishments,"Arts, entertainment, and recreation",61,X
Business,Total Establishments,Accommodation and food services,1011,X
Business,Total Establishments,Other services (except public administration),848,X
Business,Total Establishments,Industries not classified,13,X
