Topic,Subject,Title,District 29 Estimate,District 29 MOE
People,Sex and Age,Total population,"740,023","(+/-26,720)"
People,Sex and Age,Male,"381,407","(+/-15,905)"
People,Sex and Age,Female,"358,616","(+/-14,462)"
People,Sex and Age,Under 5 years,"49,249","(+/-5,436)"
People,Sex and Age,5 to 9 years,"54,428","(+/-5,516)"
People,Sex and Age,10 to 14 years,"62,922","(+/-6,756)"
People,Sex and Age,15 to 19 years,"60,682","(+/-5,765)"
People,Sex and Age,20 to 24 years,"54,192","(+/-4,679)"
People,Sex and Age,25 to 34 years,"106,099","(+/-7,979)"
People,Sex and Age,35 to 44 years,"101,760","(+/-7,471)"
People,Sex and Age,45 to 54 years,"91,814","(+/-6,843)"
People,Sex and Age,55 to 59 years,"41,583","(+/-3,993)"
People,Sex and Age,60 to 64 years,"37,800","(+/-4,049)"
People,Sex and Age,65 to 74 years,"51,503","(+/-4,115)"
People,Sex and Age,75 to 84 years,"21,540","(+/-2,929)"
People,Sex and Age,85 years and over,"6,451","(+/-1,404)"
People,Sex and Age,Median age (years),33.1,(+/-1.1)
People,Sex and Age,18 years and over,"534,607","(+/-17,258)"
People,Sex and Age,65 years and over,"79,494","(+/-5,154)"
People,Race,Total population,"740,023","(+/-26,720)"
People,Race,One race,"438,890","(+/-21,989)"
People,Race,White,"131,504","(+/-12,984)"
People,Race,Black or African American,"97,821","(+/-13,656)"
People,Race,American Indian and Alaska Native,"4,436","(+/-1,925)"
People,Race,Asian,"19,978","(+/-4,746)"
People,Race,Native Hawaiian and Other Pacific Islander,691,(+/-993)
People,Race,Some other race,"184,460","(+/-17,603)"
People,Race,Two or more races,"301,133","(+/-21,160)"
People,Hispanic or Latino and Race,Total population,"740,023","(+/-26,720)"
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),"550,847","(+/-24,754)"
People,Hispanic or Latino and Race,Mexican,"443,308","(+/-24,871)"
People,Hispanic or Latino and Race,Puerto Rican,"7,775","(+/-4,694)"
People,Hispanic or Latino and Race,Cuban,"3,882","(+/-2,104)"
People,Hispanic or Latino and Race,Other Hispanic or Latino,"95,882","(+/-13,396)"
People,Hispanic or Latino and Race,Not Hispanic or Latino,"189,176","(+/-16,208)"
People,Place of Birth,Total population,"740,023","(+/-26,720)"
People,Place of Birth,Native,"499,052","(+/-20,892)"
People,Place of Birth,Born in United States,"490,119","(+/-20,235)"
People,Place of Birth,State of residence,"427,628","(+/-19,404)"
People,Place of Birth,Different state,"62,491","(+/-6,774)"
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","8,933","(+/-3,278)"
People,Place of Birth,Foreign born,"240,971","(+/-15,250)"
People,Ancestry,Total population,"740,023","(+/-26,720)"
People,Ancestry,American,"18,226","(+/-4,738)"
People,Ancestry,Arab,792,(+/-595)
People,Ancestry,Czech,880,(+/-545)
People,Ancestry,Danish,299,(+/-371)
People,Ancestry,Dutch,830,(+/-672)
People,Ancestry,English,"10,612","(+/-2,241)"
People,Ancestry,French (except Basque),"2,742","(+/-1,024)"
People,Ancestry,French Canadian,485,(+/-333)
People,Ancestry,German,"15,416","(+/-3,369)"
People,Ancestry,Greek,209,(+/-343)
People,Ancestry,Hungarian,171,(+/-277)
People,Ancestry,Irish,"11,015","(+/-3,432)"
People,Ancestry,Italian,"5,536","(+/-1,941)"
People,Ancestry,Lithuanian,74,(+/-122)
People,Ancestry,Norwegian,668,(+/-575)
People,Ancestry,Polish,"2,808","(+/-1,527)"
People,Ancestry,Portuguese,194,(+/-234)
People,Ancestry,Russian,340,(+/-353)
People,Ancestry,Scotch-Irish,"2,080","(+/-1,219)"
People,Ancestry,Scottish,"1,761",(+/-764)
People,Ancestry,Slovak,114,(+/-190)
People,Ancestry,Subsaharan African,"6,512","(+/-5,053)"
People,Ancestry,Swedish,597,(+/-424)
People,Ancestry,Swiss,89,(+/-107)
People,Ancestry,Ukrainian,101,(+/-124)
People,Ancestry,Welsh,"1,291",(+/-831)
People,Ancestry,West Indian (excluding Hispanic origin groups),"1,907","(+/-1,452)"
People,Veteran Status,Civilian population 18 years and over,"534,547","(+/-17,252)"
People,Veteran Status,Civilian veterans,"14,685","(+/-2,788)"
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,"737,942","(+/-27,001)"
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,"90,584","(+/-6,645)"
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,"205,261","(+/-13,410)"
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,"8,262","(+/-2,444)"
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,"453,665","(+/-16,186)"
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,"49,767","(+/-4,760)"
